zip_code,lat,lng
00601,18.1805555,-66.7499615
00602,18.361945,-67.1755974
00603,18.455183,-67.1198874
00606,18.1583451,-66.9329106
00610,18.2953664,-67.1251351
00612,18.4022533,-66.7113974
00616,18.4204125,-66.6719793
00617,18.4451465,-66.5596961
00622,17.9912454,-67.1539931
00623,18.0833606,-67.153897
00624,18.0649189,-66.7166827
00627,18.4126001,-66.8639259
00631,18.1906068,-66.8320413
00637,18.076713,-66.9473894
00638,18.2959127,-66.5155884
00641,18.2630851,-66.712985
00646,18.4331503,-66.2858754
00647,17.9636135,-66.9471271
00650,18.3494158,-66.5780786
00652,18.4484516,-66.5941266
00653,17.9850333,-66.8865362
00656,18.0535389,-66.7929308
00659,18.407226,-66.8089989
00660,18.1346949,-67.1161994
00662,18.4683199,-67.0157807
00664,18.2103301,-66.5916159
00667,18.0034221,-67.0358097
00669,18.2771024,-66.8696454
00670,18.240187,-66.9887758
00674,18.4229082,-66.4893373
00676,18.3776374,-67.0795736
00677,18.3325678,-67.2270217
00678,18.4340989,-66.9273841
00680,18.1820549,-67.132502
00682,18.2214642,-67.1560391
00683,18.1077999,-67.0372633
00685,18.3329294,-66.9596892
00687,18.3190261,-66.4205568
00688,18.3822636,-66.6264382
00690,18.49551,-67.0986713
00692,18.4101875,-66.3365557
00693,18.423,-66.3972323
00694,18.4823698,-66.3910788
00698,18.0648484,-66.8563194
00703,18.2484007,-66.1306624
00704,17.96577,-66.2195545
00705,18.1289613,-66.2666829
00707,18.0140549,-65.9207506
00714,18.0030246,-66.0462373
00715,18.0112326,-66.5600648
00716,17.9920397,-66.6058562
00717,18.0032217,-66.6140369
00718,18.2319882,-65.7596231
00719,18.2899273,-66.2534402
00720,18.2179456,-66.4280762
00723,18.0434982,-66.0154792
00725,18.2188191,-66.0423752
00727,18.2153077,-66.0735649
00728,17.9898529,-66.6641162
00729,18.3235851,-65.8832059
00730,18.0308311,-66.616838
00731,18.1099473,-66.6356221
00735,18.2526042,-65.6824939
00736,18.103624,-66.1516668
00738,18.3044582,-65.6987107
00739,18.1772328,-66.1606453
00740,18.3311781,-65.6341043
00741,18.1638549,-65.7540419
00745,18.3522162,-65.8173873
00751,18.0013169,-66.2521834
00754,18.1471074,-65.9761674
00757,17.9954412,-66.3913342
00765,18.1300959,-65.4393694
00766,18.1331964,-66.4769157
00767,18.0694887,-65.8961605
00769,18.1037997,-66.3575862
00771,18.1871483,-65.871189
00772,18.438969,-65.9051744
00773,18.3428877,-65.7231087
00775,18.3265989,-65.30772
00777,18.2241334,-65.9085417
00778,18.2640763,-65.9785097
00780,18.102834,-66.5681048
00782,18.2257085,-66.2216326
00783,18.3039098,-66.3261795
00784,18.0107138,-66.1336146
00786,18.1554242,-66.2299072
00791,18.1367817,-65.8214763
00794,18.1989552,-66.3098329
00795,18.0604942,-66.5006238
00801,18.3498707,-64.9740158
00802,18.3408765,-64.9235106
00820,17.7430722,-64.6865698
00823,17.7235479,-64.7459318
00824,17.7445568,-64.6829328
00830,18.3385589,-64.7365301
00831,18.3272939,-64.7867198
00840,17.7478722,-64.8806949
00841,17.7681334,-64.8078519
00850,17.7052534,-64.7525564
00851,17.7322277,-64.7707604
00901,18.4653693,-66.1046134
00906,18.4644597,-66.0949949
00907,18.4525526,-66.0778379
00909,18.4416104,-66.0671322
00911,18.4511592,-66.0561992
00912,18.4453275,-66.0601352
00913,18.4500022,-66.0426558
00915,18.437179,-66.045571
00917,18.4206735,-66.0501049
00918,18.4210219,-66.0657892
00920,18.414292,-66.088042
00921,18.3922818,-66.088555
00923,18.4093069,-66.0388879
00924,18.3991915,-66.0124525
00925,18.4002956,-66.0506021
00926,18.3454003,-66.0515453
00927,18.3880106,-66.072089
00934,18.4113129,-66.124234
00936,18.3954625,-66.0737725
00949,18.4306955,-66.2128334
00950,18.459699,-66.2331007
00951,18.4275297,-66.2537892
00952,18.4274481,-66.1820265
00953,18.3607287,-66.251527
00956,18.3211371,-66.1704194
00957,18.3684137,-66.1876927
00959,18.3857846,-66.1556544
00960,18.4169186,-66.1457949
00961,18.4132863,-66.1646165
00962,18.4446135,-66.1488388
00965,18.4337568,-66.114752
00966,18.4015207,-66.117597
00968,18.4060847,-66.1012324
00969,18.368062,-66.1080617
00971,18.3188842,-66.11919
00976,18.3361756,-65.994099
00979,18.4443941,-66.0300362
00982,18.411261,-65.9920452
00983,18.4178156,-65.9758188
00985,18.4107698,-65.9479279
00987,18.338161,-65.941083
01001,42.0623678,-72.6257536
01002,42.3640608,-72.4587394
01003,42.3899407,-72.5241081
01005,42.4188483,-72.1065981
01007,42.2790098,-72.4004682
01008,42.1901443,-72.9543495
01009,42.2119688,-72.3414326
01010,42.1281757,-72.2053516
01011,42.3002815,-72.9687163
01012,42.3754254,-72.8581917
01013,42.1549039,-72.6028037
01020,42.1726017,-72.5620729
01022,42.1977414,-72.5427131
01026,42.4654945,-72.9182666
01027,42.2950079,-72.7518767
01028,42.0623782,-72.498111
01029,42.1933945,-73.044647
01030,42.0729247,-72.6869715
01031,42.3293988,-72.1981874
01032,42.4576127,-72.8147797
01033,42.2449487,-72.5001426
01034,42.0986764,-72.961564
01035,42.3564911,-72.5686319
01036,42.0629456,-72.4172969
01037,42.372728,-72.1954115
01038,42.3854957,-72.6069294
01039,42.4042783,-72.6889221
01040,42.2116562,-72.642448
01050,42.2867621,-72.8696953
01053,42.3563014,-72.7135844
01054,42.4688984,-72.4845789
01056,42.1835768,-72.4578116
